polling_place,voting_area,address,city,state,zip
River Trails Elementary School,Gym,8850 Elbe Trail,Fort Worth,TX,76118
Richland Hills City Hall,Council Chambers,3200 Diana Drive,Richland Hills,TX,76118
A. M. Pate Elementary School,Foyer,3800 Anglin Drive,Fort Worth,TX,76119
Beth Eden Missionary Baptist Church,Gymnasium / Multipurpose Center,3208 Wilbarger Street,Fort Worth,TX,76119
Bradley Center,Large Front Room,2601 Timberline Drive,Fort Worth,TX,76119
Charles F. Griffin Building,Early Voting Room,3212 Miller Avenue,Fort Worth,TX,76119
Glen Park Elementary School,Gym,3601 Pecos Street,Fort Worth,TX,76119
Sunrise-McMillian Elementary School,Gym,3409 Stalcup Road,Fort Worth,TX,76119
W. M. Green Elementary School,Gym,4612 David Strickland Road,Fort Worth,TX,76119
Lowery Road Elementary School,Gym,7600 Lowery Road,Fort Worth,TX,76120
Meadowcreek Elementary School,Gym,2801 Country Creek Lane,Fort Worth,TX,76123
North Crowley High School,Auditorium Foyer,9100 South Hulen Street,Fort Worth,TX,76123
Benbrook Community Center,Main Room,228 San Angelo Avenue,Benbrook,TX,76126
Blue Mound Community Center,Open Area,1824 Fagan Drive,Blue Mound,TX,76131
Chisholm Ridge Elementary School,Cafeteria,8301 Running River Lane,Fort Worth,TX,76131
Cross Church,Worship Center and Atrium,10321 US-287,Fort Worth,TX,76131
Northbrook Elementary School,Gym,2500 Cantrell Sansom Road,Fort Worth,TX,76131
Oakmont Elementary School,Cafeteria,6651 Oakmont Trail,Fort Worth,TX,76132
Bruce Shulkey Elementary School,Auditorium,5533 Whitman Avenue,Fort Worth,TX,76133
Dionne Phillips Bagsby Southwest Subcourthouse,Early Voting Room,6551 Granbury Road,Fort Worth,TX,76133
Genesis United Methodist Church,Commons,7635 South Hulen Street,Fort Worth,TX,76133
R. D. Evans Community Center,Dance Room,3242 Lackland Road,Fort Worth,TX,76116
Haltom City Library,Adult Education Classroom,4809 Haltom Road,Haltom City,TX,76117
Haltom City Senior Center,Multipurpose Room in NE Corner,3201 Friendly Lane,Haltom City,TX,76117
River Trails Elementary School,Gym,8850 Elbe Trail,Fort Worth,TX,76118
Richland Hills City Hall,Council Chambers,3200 Diana Drive,Richland Hills,TX,76118
A. M. Pate Elementary School,Foyer,3800 Anglin Drive,Fort Worth,TX,76119
Beth Eden Missionary Baptist Church,Gymnasium / Multipurpose Center,3208 Wilbarger Street,Fort Worth,TX,76119
Bradley Center,Large Front Room,2601 Timberline Drive,Fort Worth,TX,76119
Charles F. Griffin Building,Early Voting Room,3212 Miller Avenue,Fort Worth,TX,76119
Glen Park Elementary School,Gym,3601 Pecos Street,Fort Worth,TX,76119
Sunrise-McMillian Elementary School,Gym,3409 Stalcup Road,Fort Worth,TX,76119
W. M. Green Elementary School,Gym,4612 David Strickland Road,Fort Worth,TX,76119
Lowery Road Elementary School,Gym,7600 Lowery Road,Fort Worth,TX,76120
Meadowcreek Elementary School,Gym,2801 Country Creek Lane,Fort Worth,TX,76123
North Crowley High School,Auditorium Foyer,9100 South Hulen Street,Fort Worth,TX,76123
Benbrook Community Center,Main Room,228 San Angelo Avenue,Benbrook,TX,76126
Blue Mound Community Center,Open Area,1824 Fagan Drive,Blue Mound,TX,76131
Chisholm Ridge Elementary School,Cafeteria,8301 Running River Lane,Fort Worth,TX,76131
Cross Church,Worship Center and Atrium,10321 US-287,Fort Worth,TX,76131
Northbrook Elementary School,Gym,2500 Cantrell Sansom Road,Fort Worth,TX,76131
Oakmont Elementary School,Cafeteria,6651 Oakmont Trail,Fort Worth,TX,76132
Bruce Shulkey Elementary School,Auditorium,5533 Whitman Avenue,Fort Worth,TX,76133
Dionne Phillips Bagsby Southwest Subcourthouse,Early Voting Room,6551 Granbury Road,Fort Worth,TX,76133
Genesis United Methodist Church,Commons,7635 South Hulen Street,Fort Worth,TX,76133
Trinity Cumberland Presbyterian Church,Front Foyer,7120 West Cleburne Road,Fort Worth,TX,76133
Westminster Presbyterian Church,Fellowship Hall,7001 Trail Lake Drive,Fort Worth,TX,76133
Edgecliff Village Community Center,Community Center,1605 Edgecliff Road,Edgecliff Village,TX,76134
Greenbriar Elementary School,Cafeteria,1605 Grady Lee Street,Fort Worth,TX,76134
Highland Hills Community Center,Multipurpose Room,1600 Glasgow Road,Fort Worth,TX,76134
Lifeline Church,Narthex / Sanctuary Foyer,1404 Sycamore School Road,Fort Worth,TX,76134
New Hope Fellowship,Fellowship Hall,6410 South Freeway,Fort Worth,TX,76134
Parkway Elementary School,Cafeteria,1320 West Everman Parkway,Fort Worth,TX,76134
Sheriff's Office North Patrol Division,Community Room,6651 Lake Worth Boulevard,Lake Worth,TX,76135
Bluebonnet Elementary School,Gym,7000 Teal Drive,Fort Worth,TX,76137
Hillwood Middle School,Hallway Outside Gym,8250 Parkwood Hill Boulevard,Fort Worth,TX,76137
Summerglen Branch Library,Meeting Room,4205 Basswood Boulevard,Fort Worth,TX,76137
Everman Civic Center,Ballroom,213 North Race Street,Everman,TX,76140
Forest Hill Civic & Convention Center,Room 101,6901 Wichita Street,Forest Hill,TX,76140
Watauga City Hall,Lobby,7105 Whitley Road,Watauga,TX,76148
Candlewood Suites Hotel,Blue Room,4200 Reggis Court,Fort Worth,TX,76155
M. G. Ellis,Room 104 - Gym,215 Northeast 14th Street,Fort Worth,TX,76164
Northside Community Center,Banquet Hall,1100 Northwest 18th Street,Fort Worth,TX,76164
Eagle Mountain Elementary School,Cafeteria,9700 Morris Dido Newark Road,Fort Worth,TX,76179
Northwest Branch Library,Meeting Room,6228 Crystal Lake Drive,Fort Worth,TX,76179
John Ed Keeter Public Library,Back Seating Area,355 West McLeroy Boulevard,Saginaw,TX,76179
City Point United Methodist Church,Duncan Family Life Center,7301 Glenview Drive,North Richland Hills,TX,76180
North Richland Hills Public Library,Community Room,9015 Grand Avenue,North Richland Hills,TX,76180
Former Bursey Road Senior Adult Center,Main Room,7301 Bursey Road,North Richland Hills,TX,76182
Trinity Cumberland Presbyterian Church,Front Foyer,7120 West Cleburne Road,Fort Worth,TX,76133
Westminster Presbyterian Church,Fellowship Hall,7001 Trail Lake Drive,Fort Worth,TX,76133
Edgecliff Village Community Center,Community Center,1605 Edgecliff Road,Edgecliff Village,TX,76134
Greenbriar Elementary School,Cafeteria,1605 Grady Lee Street,Fort Worth,TX,76134
Highland Hills Community Center,Multipurpose Room,1600 Glasgow Road,Fort Worth,TX,76134
Lifeline Church,Narthex / Sanctuary Foyer,1404 Sycamore School Road,Fort Worth,TX,76134
New Hope Fellowship,Fellowship Hall,6410 South Freeway,Fort Worth,TX,76134
Parkway Elementary School,Cafeteria,1320 West Everman Parkway,Fort Worth,TX,76134
Sheriff's Office North Patrol Division,Community Room,6651 Lake Worth Boulevard,Lake Worth,TX,76135
Bluebonnet Elementary School,Gym,7000 Teal Drive,Fort Worth,TX,76137
Hillwood Middle School,Hallway Outside Gym,8250 Parkwood Hill Boulevard,Fort Worth,TX,76137
Summerglen Branch Library,Meeting Room,4205 Basswood Boulevard,Fort Worth,TX,76137
Everman Civic Center,Ballroom,213 North Race Street,Everman,TX,76140
Forest Hill Civic & Convention Center,Room 101,6901 Wichita Street,Forest Hill,TX,76140
Watauga City Hall,Lobby,7105 Whitley Road,Watauga,TX,76148
Candlewood Suites Hotel,Blue Room,4200 Reggis Court,Fort Worth,TX,76155
M. G. Ellis,Room 104 - Gym,215 Northeast 14th Street,Fort Worth,TX,76164
Northside Community Center,Banquet Hall,1100 Northwest 18th Street,Fort Worth,TX,76164
Eagle Mountain Elementary School,Cafeteria,9700 Morris Dido Newark Road,Fort Worth,TX,76179
Northwest Branch Library,Meeting Room,6228 Crystal Lake Drive,Fort Worth,TX,76179
John Ed Keeter Public Library,Back Seating Area,355 West McLeroy Boulevard,Saginaw,TX,76179
City Point United Methodist Church,Duncan Family Life Center,7301 Glenview Drive,North Richland Hills,TX,76180
North Richland Hills Public Library,Community Room,9015 Grand Avenue,North Richland Hills,TX,76180
Former Bursey Road Senior Adult Center,Main Room,7301 Bursey Road,North Richland Hills,TX,76182
Trinity Cumberland Presbyterian Church,Front Foyer,7120 West Cleburne Road,Fort Worth,TX,76133
Westminster Presbyterian Church,Fellowship Hall,7001 Trail Lake Drive,Fort Worth,TX,76133
Edgecliff Village Community Center,Community Center,1605 Edgecliff Road,Edgecliff Village,TX,76134
Greenbriar Elementary School,Cafeteria,1605 Grady Lee Street,Fort Worth,TX,76134
Highland Hills Community Center,Multipurpose Room,1600 Glasgow Road,Fort Worth,TX,76134
Lifeline Church,Narthex / Sanctuary Foyer,1404 Sycamore School Road,Fort Worth,TX,76134
New Hope Fellowship,Fellowship Hall,6410 South Freeway,Fort Worth,TX,76134
Parkway Elementary School,Cafeteria,1320 West Everman Parkway,Fort Worth,TX,76134
Sheriff's Office North Patrol Division,Community Room,6651 Lake Worth Boulevard,Lake Worth,TX,76135
Bluebonnet Elementary School,Gym,7000 Teal Drive,Fort Worth,TX,76137
Hillwood Middle School,Hallway Outside Gym,8250 Parkwood Hill Boulevard,Fort Worth,TX,76137
Summerglen Branch Library,Meeting Room,4205 Basswood Boulevard,Fort Worth,TX,76137
Everman Civic Center,Ballroom,213 North Race Street,Everman,TX,76140
Forest Hill Civic & Convention Center,Room 101,6901 Wichita Street,Forest Hill,TX,76140
Watauga City Hall,Lobby,7105 Whitley Road,Watauga,TX,76148
Candlewood Suites Hotel,Blue Room,4200 Reggis Court,Fort Worth,TX,76155
M. G. Ellis,Room 104 - Gym,215 Northeast 14th Street,Fort Worth,TX,76164
Northside Community Center,Banquet Hall,1100 Northwest 18th Street,Fort Worth,TX,76164
Eagle Mountain Elementary School,Cafeteria,9700 Morris Dido Newark Road,Fort Worth,TX,76179
Northwest Branch Library,Meeting Room,6228 Crystal Lake Drive,Fort Worth,TX,76179
John Ed Keeter Public Library,Back Seating Area,355 West McLeroy Boulevard,Saginaw,TX,76179
City Point United Methodist Church,Duncan Family Life Center,7301 Glenview Drive,North Richland Hills,TX,76180
North Richland Hills Public Library,Community Room,9015 Grand Avenue,North Richland Hills,TX,76180
Former Bursey Road Senior Adult Center,Main Room,7301 Bursey Road,North Richland Hills,TX,76182
Lone Star Elementary School,Lobby,4647 Shiver Road,Fort Worth,TX,76244
Woodland Springs Elementary School,Lobby,12120 Woodland Springs Drive,Fort Worth,TX,76244
Keller Town Hall,Conference Room 212,1100 Bear Creek Parkway,Keller,TX,76248
John M. Tidwell Middle School,PE Gym - 1502,3937 Haslet-Roanoke Road,Roanoke,TX,76262
Lone Star Elementary School,Lobby,4647 Shiver Road,Fort Worth,TX,76244
Woodland Springs Elementary School,Lobby,12120 Woodland Springs Drive,Fort Worth,TX,76244
Keller Town Hall,Conference Room 212,1100 Bear Creek Parkway,Keller,TX,76248
John M. Tidwell Middle School,PE Gym - 1502,3937 Haslet-Roanoke Road,Roanoke,TX,76262
Trophy Club Town Hall,EOC Room,1 Trophy Wood Drive,Trophy Club,TX,76262
Lone Star Elementary School,Lobby,4647 Shiver Road,Fort Worth,TX,76244
Woodland Springs Elementary School,Lobby,12120 Woodland Springs Drive,Fort Worth,TX,76244
Keller Town Hall,Conference Room 212,1100 Bear Creek Parkway,Keller,TX,76248
John M. Tidwell Middle School,PE Gym - 1502,3937 Haslet-Roanoke Road,Roanoke,TX,76262
Trophy Club Town Hall,EOC Room,1 Trophy Wood Drive,Trophy Club,TX,76262
